date_posted,title,jurisdiction,seniority,source_url,captured_date,notes
2026-06-09,"Director of Communications, Ava Labs",Remote (USA),Director / regulatory-comms/PR,https://jobs.ashbyhq.com/ava-labs/21304439-edbb-4477-aa45-aa6962e74eb3,2026-06-26,ATS=ashby; url_verified=True; src=open-positions.json 2026-06-26
2026-05-18,Director of Social Media,"Brooklyn, NY",Director / regulatory-comms/PR,https://jobs.ashbyhq.com/ava-labs/18933fc5-b393-4f28-835e-d348bec283c3,2026-06-26,ATS=ashby; url_verified=True; src=open-positions.json 2026-06-26
