date_posted,title,jurisdiction,seniority,source_url,captured_date,notes
2026-07-23,"Director, Paid Marketing",United States,Director / marketing,https://jobs.ashbyhq.com/kraken.com/5e07a439-ae65-4f08-bb5e-edff883d12bb,2026-07-24,ATS=ashby; url_verified=True; src=open-positions.json 2026-07-24
2026-07-23,"Director, Paid Marketing",United Kingdom,Director / marketing,https://jobs.ashbyhq.com/kraken.com/f0b3a00e-57a5-47eb-9d4c-9b2c1a3d9345,2026-07-24,ATS=ashby; url_verified=True; src=open-positions.json 2026-07-24
